study_ID,long_cite,bibtex_cite,year,expt_num,author_disciplines,AUTHOR_DISCIPLINE_1,AUTHOR_DISCIPLINE_2,AUTHOR_DISCIPLINE_3,study_type,psychological_target_outcome,PSY_TARGET_OUTCOME_CODE,psychological_measured_outcome,application_scenario,APPL_SCENARIOS_CODE,exp_type,number_of_sessions,NUMB_SESSIONS_CODE,N,study_design,notes_design,target_population,age_range,mean_age,gender,NB_CODE,FEMALE_CODE,MALE_CODE,sex_vs_gender,language,country,COUNTRY_CODE,notes_population,robot_model_1,robot_model_2,robot_model_3,robot_model_4,robot_model_5,robot_interactivity,observing_interacting,robot_operation,other_technologies,affect_behavior_generation_capabilities,generation_autonomy_level,affect_perception_capabilities,perception_autonomy_level,technological,design,ethical,affective,others (emp-study),inclusion_of_clinical_practice,theories_grounded,notes_others,notes_theories_grounded_implementation,data_collection_method,evaluation_method,notes_methods,computation_model_approaches,design_stakeholder_involvement,design_involved_stakeholders,design_method,ethical_user_safety,ethical_societal,ethical_implication_discussed,notes,ethical_external,ethical_internal,eligibility_decision,notes_elegibility_decision
P019,"Pranav Prabha, Sreejith Sasidharan, Devasena Pasupuleti, Anand Das, Gayathri Manikutty, and Rajesh Sharma. 2022. A Minimalist Social Robot Platform for Promoting Positive Behavior Change Among Children. In ACM SIGGRAPH 2022 Educator's Forum (SIGGRAPH '22). Association for Computing Machinery, New York, NY, USA, Article 3, 1–2. https://doi.org/10.1145/3532724.3535597","@inproceedings{10.1145/3532724.3535597,
author = {Prabha, Pranav and Sasidharan, Sreejith and Pasupuleti, Devasena and Das, Anand and Manikutty, Gayathri and Sharma, Rajesh},
title = {A Minimalist Social Robot Platform for Promoting Positive Behavior Change Among Children},
year = {2022},
isbn = {9781450393669},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3532724.3535597},
doi = {10.1145/3532724.3535597},
booktitle = {ACM SIGGRAPH 2022 Educator's Forum},
articleno = {3},
numpages = {2},
keywords = {Education, Design, Robotics, Interaction},
location = {Vancouver, BC, Canada},
series = {SIGGRAPH '22}
}",2022,1,"AMMACHI Labs, Spire Animation Studios",N.R.,,,PARTICIPATORY DESIGN,hygiene ,hygiene,N.R.,classroom,MENTAL,LAB,N.R.,N.R.,44,N.R.,,children,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,India,Southern Asia,,Haksh-E,,,,,physical,interacting,A,N/A,"led face, verbal affect",A,N.R.,N.R.,1,1,0,0,,0,0,,,N.R.,N/A,,DEEP LEARNING,PD,children,shapes to model robots and design feedback,N/A,N/A,0,,0,0,Y,
P023,"Dinesen, B., Hansen, H. K., Grønborg, G. B., Dyrvig, A.-K., Leisted, S. D., Stenstrup, H., Skov Schacksen, C., & Oestergaard, C. (2022). Use of a Social Robot (LOVOT) for Persons With Dementia: Exploratory Study. JMIR Rehabilitation and Assistive Technologies, 9(3), e36505–e36505. https://doi.org/10.2196/36505","@article{DinesenBirthe2022UoaS,
issn = {2369-2529},
journal = {JMIR rehabilitation and assistive technologies},
pages = {e36505--e36505},
volume = {9},
publisher = {JMIR Publications},
number = {3},
year = {2022},
title = {Use of a Social Robot (LOVOT) for Persons With Dementia: Exploratory Study},
copyright = {Birthe Dinesen, Helle Kidde Hansen, Gry Bruun Grønborg, Anne-Kirstine Dyrvig, Sofie Dalskov Leisted, Henrik Stenstrup, Cathrine Skov Schacksen, Claus Oestergaard. Originally published in JMIR Rehabilitation and Assistive Technology (https://rehab.jmir.org), 01.08.2022. 2022},
language = {eng},
address = {Toronto, Canada},
author = {Dinesen, Birthe and Hansen, Helle Kidde and Grønborg, Gry Bruun and Dyrvig, Anne-Kirstine and Leisted, Sofie Dalskov and Stenstrup, Henrik and Skov Schacksen, Cathrine and Oestergaard, Claus},
}",2022,1,"Laboratory for Welfare Technologies - Digital Health & Rehabilitation, Sports Sciences - Performance and Technology, Department for Health Science
and Technology, Aalborg University, Aalborg, Denmark
The Danish Clinical Quality Program, National Clinical Registries, Odense, Denmark
The Innovation Department for the Elderly, Aalborg Municipality, Aalborg, Denmark",CS,,,QUAL,well-being,well-being,well-being,care home,HEALTH,CARE-CENTER,24,<=30,42,RCT,,dementia,"96, 66",83.5,"9, 33",0,33,9,GENDER,Danish,Denmark,Northern Europe,,LOVOT,,,,,physical,interacting,A,N.R.,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,1,0,exploratory study,,MIXED,Statistical tests,,N.R.,N/A,N/A,N/A,"physical, mental",N.R.,1,,1,1,Y,
P025,"Yuan, F., Anderson, J. G., Wyatt, T. H., Lopez, R. P., Crane, M., Montgomery, A., & Zhao, X. (2022). Assessing the Acceptability of a Humanoid Robot for Alzheimer’s Disease and Related Dementia Care Using an Online Survey. International Journal of Social Robotics, 14(5), 1223–1237. https://doi.org/10.1007/s12369-021-00862-x","@article{YuanFengpei2022AtAo,
issn = {1875-4791},
journal = {International journal of social robotics},
pages = {1223--1237},
volume = {14},
publisher = {Springer Netherlands},
number = {5},
year = {2022},
title = {Assessing the Acceptability of a Humanoid Robot for Alzheimer’s Disease and Related Dementia Care Using an Online Survey},
copyright = {The Author(s), under exclusive licence to Springer Nature B.V. 2022},
language = {eng},
address = {Dordrecht},
author = {Yuan, Fengpei and Anderson, Joel G. and Wyatt, Tami H. and Lopez, Ruth Palan and Crane, Monica and Montgomery, Austin and Zhao, Xiaopeng},
}",2022,1,N.R.,N.R.,,,QUAL,N/A,N/A,N/A,clinical,SOCIAL,online survey,1,SINGLE,631,N/A,,dementia,"above 85, under 50","(65-75), (50-65), (50-65)","(35, 44), (58, 184), (124, 177)",0,"44,184,177","35,58,177",GENDER,English,USA,North America,"three group order : MCI or ADRD, cargiver, gen pop",PEPPER,,,,,video,observing,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,,1,0,,,SURVEYS,Statistical tests,,N/A,N/A,N/A,N/A,N/A,N/A,1,asked a question what people thought about ethics,0,0,Y,
P029,"Korn, O., & Zallio, M. (2022, June). Perspectives on Social Health Robots: How Experts’ Views Improved from 2017 to 2021. In Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments (pp. 125-128).","@inproceedings{korn2022perspectives,
  title={Perspectives on Social Health Robots: How Experts’ Views Improved from 2017 to 2021},
  author={Korn, Oliver and Zallio, Matteo},
  booktitle={Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments},
  pages={125--128},
  year={2022}
}",2022,1,"Offenburg University, Affective & Cognitive Institute,  University of Cambridge, Department of Engineering",CS,,,QUAL,N/A,N/A,N/A,clinical,SOCIAL,online survey,1,SINGLE,29,N/A,,general,"57, 30",44.9,"12,17",0,17,12,N.R.,N.R.,N.R.,N/R,,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,,1,0,,,SURVEYS,statistical tests,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P030,"Demaeght, A., Miclau, C., Hartmann, J., Markwardt, J., & Korn, O. (2022, June). Multimodal Emotion Analysis of Robotic Assistance in Elderly Care. In Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments (pp. 230-236).","@inproceedings{demaeght2022multimodal,
  title={Multimodal Emotion Analysis of Robotic Assistance in Elderly Care},
  author={Demaeght, Annebeth and Miclau, Christina and Hartmann, Julia and Markwardt, Janina and Korn, Oliver},
  booktitle={Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments},
  pages={230--236},
  year={2022}
}",2022,1,"Offenburg University of Applied Sciences Gengenbach, Germany,  Offenburg University of Applied Sciences Gengenbach, Germany, Offenburg University of Applied Sciences, Offenburg University of Applied Sciences Gengenbach, Germany, Offenburg University of Applied Sciences, Affective & Cognitive Institute Offenburg, Germany",CS,,,QUAL,care-giving,eldercare,N.R.,clinical,TECHNICAL,LAB,1,SINGLE,8,single session,,mixed-elderly,"70,52",64.5,"4,4",0,4,4,N.R.,German,Germany,Western Europe,,misa,,,,,physical,interacting,WoZ,N/A,N.R.,N.R.,N/A,N/A,0,1,0,0,1,0,0,single session elderly study,,MIXED,interview and emotion analysis,,N/A,N/A,N/A,N/A,N.R.,N.R.,0,"they say they considered some ethics such as right to withdraw, but only one short sentence and no mention of approval",0,0,Y,
P030,"Demaeght, A., Miclau, C., Hartmann, J., Markwardt, J., & Korn, O. (2022, June). Multimodal Emotion Analysis of Robotic Assistance in Elderly Care. In Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments (pp. 230-236).","@inproceedings{demaeght2022multimodal,
  title={Multimodal Emotion Analysis of Robotic Assistance in Elderly Care},
  author={Demaeght, Annebeth and Miclau, Christina and Hartmann, Julia and Markwardt, Janina and Korn, Oliver},
  booktitle={Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments},
  pages={230--236},
  year={2022}
}",2022,2,"Offenburg University of Applied Sciences Gengenbach, Germany,  Offenburg University of Applied Sciences Gengenbach, Germany, Offenburg University of Applied Sciences, Offenburg University of Applied Sciences Gengenbach, Germany, Offenburg University of Applied Sciences, Affective & Cognitive Institute Offenburg, Germany",CS,,,QUAL,care-giving,eldercare,N.R.,clinical,TECHNICAL,CARE-CENTER,1,SINGLE,17,single session,,elderly,"95, 69",84,"1,16",0,16,1,N.R.,German,germany,Western Europe,,misa,,,,,physical,interacting,WoZ,N/A,"affective conversation, and facial expressions",WoZ,N/A,N/A,0,1,0,1,1,1,0,single session elderly study,,MIXED,thematic analysis ,,N/A,N/A,N/A,N/A,N.R.,N.R.,0,,N.R.,N.R.,Y,
P031,"De Saille, S., Kipnis, E., Potter, S., Cameron, D., Webb, C. J. R., Winter, P., O’Neill, P., Gold, R., Halliwell, K., Alboul, L., Bell, A. J., Stratton, A., & McNamara, J. (2022). Improving Inclusivity in Robotics Design: An Exploration of Methods for Upstream Co-Creation. Frontiers in Robotics and AI, 9, 731006–731006. https://doi.org/10.3389/frobt.2022.731006","@article{deSailleStevienna2022IIiR,
issn = {2296-9144},
journal = {Frontiers in robotics and AI},
pages = {731006--731006},
volume = {9},
publisher = {Frontiers Media S.A},
year = {2022},
title = {Improving Inclusivity in Robotics Design: An Exploration of Methods for Upstream Co-Creation},
copyright = {Copyright © 2022 de Saille, Kipnis, Potter, Cameron, Webb, Winter, O’Neill, Gold, Halliwell, Alboul, Bell, Stratton and McNamara. 2022 de Saille, Kipnis, Potter, Cameron, Webb, Winter, O’Neill, Gold, Halliwell, Alboul, Bell, Stratton and McNamara},
language = {eng},
author = {de Saille, Stevienna and Kipnis, Eva and Potter, Stephen and Cameron, David and Webb, Calum J. R. and Winter, Peter and O’Neill, Peter and Gold, Richard and Halliwell, Kate and Alboul, Lyuba and Bell, Andy J. and Stratton, Andrew and McNamara, Jon},
}",2022,1,"Department of Sociological Studies, University of Sheffield, Sheffield, United Kingdom, Management School, University of Sheffield, Sheffield, United Kingdom, Centre for Assistive Technology and Connected Healthcare (CATCH), University of Sheffield, Sheffield, United Kingdom, Information School, University of Sheffield, Sheffield, United Kingdom, Department of Sociology, University of Bristol, Bristol, United Kingdom Department of Computing, Sheffield Hallam University, Sheffield, United Kingdom, Independent Researcher, London, United Kingdom,  P4C, London, United Kingdom, Department of Robotics, Sheffield Hallam University, Sheffield, United Kingdom, Advanced Manufacturing Research Centre (AMRC), Rotherham, United Kingdom, Department of Computer Science, University of Sheffield, Sheffield, United Kingdom, 12IBM Global, Portsmouth, United Kingdom",SS,CS,,PARTICIPATORY DESIGN,well-being,well-being,well-being,any,HEALTH,LAB,3,<=10,20,N/A,,mixed,"74, 26",N.R.,"11, 9",0,9,11,N.R.,English,UK,Northern Europe,range of disabilites,N/A,,,,,N/A,N/A,N/A,lego serious play,N/A,N/A,N/A,N/A,0,1,1,0,,0,0,,,FOCUS GROUP,qualitative,,N/A,user-centered,people with a range of diabilities,"community philosophy, design thinking, lego serious play",N/A,"fairness, bias, justice",1,lightly discussed mostly implied,0,1,Y,
P034,"Kharub, I., Lwin, M., Khan, A., Mubin, O., & Shahid, S. (2022). The Effectiveness of Robot-Enacted Messages to Reduce the Consumption of High-Sugar Energy Drinks. Informatics (Basel), 9(2), 49. https://doi.org/10.3390/informatics9020049","@article{KharubIsha2022TEoR,
issn = {2227-9709},
journal = {Informatics (Basel)},
pages = {49},
volume = {9},
publisher = {MDPI AG},
number = {2},
year = {2022},
title = {The Effectiveness of Robot-Enacted Messages to Reduce the Consumption of High-Sugar Energy Drinks},
copyright = {COPYRIGHT 2022 MDPI AG},
language = {eng},
address = {Basel},
author = {Kharub, Isha and Lwin, Michael and Khan, Aila and Mubin, Omar and Shahid, Suleman},
}",2022,1,"School of Business, Western Sydney University, School of Computer, Data and Mathematical Sciences, Western Sydney University, Computer Human Interaction and Social Experience Lab (CHISEL), Syed Babar Ali School of Science and
Engineering, Lahore University of Management Sciences",BSN,CS,,QUAL,heathy eating,eating,N/A,product sales,HEALTH,LAB,one per participant,SINGLE,206,between-subject,,general,N.R.,18-24,"113, 93",0,93,113,GENDER,English,Australia,Oceania,,NAO,,,,,physical,interacting,WoZ,N/A,Emotional appeal,WoZ,N/A,N/A,0,1,0,0,1,0,1,exploratory study,cognitive response theory,SURVEYS,statistical test,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P038,"Fronemann, N., Pollmann, K., & Loh, W. (2022). Should my robot know what's best for me? Human–robot interaction between user experience and ethical design. AI & Society, 37(2), 517–533. https://doi.org/10.1007/s00146-021-01210-3","@article{FronemannNora2022Smrk,
issn = {0951-5666},
journal = {AI & society},
pages = {517--533},
volume = {37},
publisher = {Springer London},
number = {2},
year = {2022},
title = {Should my robot know what's best for me? Human–robot interaction between user experience and ethical design},
copyright = {The Author(s) 2021},
language = {eng},
address = {London},
author = {Fronemann, Nora and Pollmann, Kathrin and Loh, Wulf},
}",2022,0,N.R.,N.R.,,,CONCEPT,well-being,well-being,N/A,mixed,HEALTH,N/A,N/A,N/A,N/A,N/A,N/A,elderly,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,,nika,PEPPER,,,,physical,interacting,N.R.,N/A,"emotional expression, emotional blackmailing",N.R.,N.R.,N.R.,0,1,1,0,,0,0,,,N/A,N/A,,N/A,User-centered,none,set of principals,"information privacy, loss of contol",fairness,1,"they give a set of design principals but not sure if there are a methodology : efficency of use, minimize user's cognative load, consistency, feedback, error prevention, conceptual model",N/A,N/A,Y,
P040,"Morone, G., Pirrera, A., Meli, P., & Giansanti, D. (2022). Ethics and Automated Systems in the Health Domain: Design and Submission of a Survey on Rehabilitation and Assistance Robotics to Collect Insiders' Opinions and Perception. Healthcare (Basel), 10(5), 778. https://doi.org/10.3390/healthcare10050778","@article{MoroneGiovanni2022EaAS,
issn = {2227-9032},
journal = {Healthcare (Basel)},
pages = {778},
volume = {10},
publisher = {MDPI AG},
number = {5},
year = {2022},
title = {Ethics and Automated Systems in the Health Domain: Design and Submission of a Survey on Rehabilitation and Assistance Robotics to Collect Insiders' Opinions and Perception},
copyright = {2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.},
language = {eng},
address = {Switzerland},
author = {Morone, Giovanni and Pirrera, Antonia and Meli, Paola and Giansanti, Daniele},
}",2022,1,"Dipartimento di Medicina Clinica, Sanità Pubblica, Scienze della Vita e dell’Ambiente, Università degli Studi dell’Aquila, Centro TISP, Istituto Superiore di Sanità",MED,,,QUAL,well-being,well-being,N/A,Health care,HEALTH,N/A,1,SINGLE,155,single session,a survey on opinions,health care professionals,"64, 23",44,"78, 77",0,77,78,SEX,Italian,Italy,Southern Europe,,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1,0,1,1,N/A,survey,,SURVEYS,statistical tests ,,N/A,N/A,N/A,N/A,"errors, privacy, trust",bias,1,survet on ethics,0,0,Y,
P041,"Blavette, L., Rigaud, A.-S., Anzalone, S. M., Kergueris, C., Isabet, B., Dacunha, S., & Pino, M. (2022). A Robot-Mediated Activity Using the Nao Robot to Promote COVID-19 Precautionary Measures among Older Adults in Geriatric Facilities. International Journal of Environmental Research and Public Health, 19(9), 5222. https://doi.org/10.3390/ijerph19095222","@article{BlavetteLauriane2022ARAU,
issn = {1660-4601},
journal = {International journal of environmental research and public health},
pages = {5222},
volume = {19},
publisher = {MDPI AG},
number = {9},
year = {2022},
title = {A Robot-Mediated Activity Using the Nao Robot to Promote COVID-19 Precautionary Measures among Older Adults in Geriatric Facilities},
language = {eng},
address = {Switzerland},
author = {Blavette, Lauriane and Rigaud, Anne-Sophie and Anzalone, Salvatore Maria and Kergueris, Clément and Isabet, Baptiste and Dacunha, Sébastien and Pino, Maribel},
}",2022,1,"Faculté de Médecine, Université de Paris, Maladie d’Alzheimer, Services de Gériatrie 1 & 2, AP-HP, Hôpital Broca, Laboratoire CHArt, Université Paris,  Broca Living Lab",MED,,,QUAL,COVID-19 Compliance,adherence,COVID-19 Compliance,clinical,HEALTH,HOSPITAL,one per person,SINGLE,"124 (45, 39, 40)",single session,,mixed,"95, under 64"," (81.57), (62.90), (44.56)","(15,30), (14,25), (11,29)",0,"30,25,29","15,14,11",GENDER,French,France,Western Europe,"Patients, accompnaying persons, health professionals",NAO,,,,,,interacting,WoZ,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,1,0,exploratory study,N/A,QUESTIONNAIRES,percentages,,N/A,N/A,N/A,N/A,"autonomy, reliability",N/A,1,,0,1,Y,
P045,"Smakman, M. H. J., Vanegas, D. F. P., Smit, K., Leewis, S., Okkerse, Y., Obbes, J., Uffing, T., Soliman, M., van der Krogt, T., & Tönjes, L. (2022). A Trustworthy Robot Buddy for Primary School Children. Multimodal Technologies and Interaction, 6(4), 29.https://doi.org/10.3390/mti60400299","@article{SmakmanMatthijsH.J.2022ATRB,
issn = {2414-4088},
journal = {Multimodal technologies and interaction},
pages = {29},
volume = {6},
publisher = {MDPI AG},
number = {4},
year = {2022},
title = {A Trustworthy Robot Buddy for Primary School Children},
copyright = {2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.},
language = {eng},
address = {Basel},
author = {Smakman, Matthijs H. J. and Vanegas, Daniel F. Preciado and Smit, Koen and Leewis, Sam and Okkerse, Youri and Obbes, Jesper and Uffing, Thom and Soliman, Marina and van der Krogt, Tony and Tönjes, Lucas},
}",2022,1,"Institute for Information Communication and Technology, HU University of Applied Sciences Utrecht, Department of Communication Science, VU University Amsterdam",CS,COMM,,QUAL,well-being,well-being,trust,educational,EDU,SCHOOL,1,SINGLE,55,single session,,children,"6,4",4.56,"26,29",0,29,26,N.R.,Dutch,Netherlands,Western Europe,,SAMBuddy storytelling cuddle,,,,,physical,interacting,WoZ,N/A,emotional expression,WoZ,N/A,N/A,0,1,0,0,1,0,1,single session children study,music theory intervention,QUESTIONNAIRES,statistical tests,"it is pre-programmed, unsure if that counts as WoZ",N/A,N/A,N/A,N/A,N/A,N/A,0,has a sentence mentioning to consider ethics but nothing else,0,0,Y,
P045,"Smakman, M. H. J., Vanegas, D. F. P., Smit, K., Leewis, S., Okkerse, Y., Obbes, J., Uffing, T., Soliman, M., van der Krogt, T., & Tönjes, L. (2022). A Trustworthy Robot Buddy for Primary School Children. Multimodal Technologies and Interaction, 6(4), 29.https://doi.org/10.3390/mti60400299","@article{SmakmanMatthijsH.J.2022ATRB,
issn = {2414-4088},
journal = {Multimodal technologies and interaction},
pages = {29},
volume = {6},
publisher = {MDPI AG},
number = {4},
year = {2022},
title = {A Trustworthy Robot Buddy for Primary School Children},
copyright = {2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.},
language = {eng},
address = {Basel},
author = {Smakman, Matthijs H. J. and Vanegas, Daniel F. Preciado and Smit, Koen and Leewis, Sam and Okkerse, Youri and Obbes, Jesper and Uffing, Thom and Soliman, Marina and van der Krogt, Tony and Tönjes, Lucas},
}",2022,2,"Institute for Information Communication and Technology, HU University of Applied Sciences Utrecht, Department of Communication Science, VU University Amsterdam",CS,COMM,,QUAL,stress reduction,stress,stress reduction,educational,EDU,SCHOOL,1,SINGLE,"(30,30)",between-subject,"30 were with robot and 30 with classical music, the demographic features were reported together",children,"6,3",5.06,"30,30",0,30,30,N.R.,Dutch,Netherlands,Western Europe,,SAMBuddy storytelling cuddle,,,,,physical,interacting,WoZ,N/A,emotional expression,WoZ,N/A,N/A,0,1,0,0,1,0,1,single session children study,music theory intervention,QUESTIONNAIRES,statistical tests,"it is pre-programmed, unsure if that counts as WoZ",N/A,N/A,N/A,N/A,N/A,N/A,0,has a sentence mentioning to consider ethics but nothing else,0,0,Y,
P046,"Ren, X., Guo, Z., Huang, A., Li, Y., Xu, X., & Zhang, X. (2022). Effects of Social Robotics in Promoting Physical Activity in the Shared Workspace. Sustainability (Basel, Switzerland), 14(7), 4006. https://doi.org/10.3390/su14074006","@article{RenXipei2022EoSR,
issn = {2071-1050},
journal = {Sustainability (Basel, Switzerland)},
pages = {4006},
volume = {14},
publisher = {MDPI AG},
number = {7},
year = {2022},
title = {Effects of Social Robotics in Promoting Physical Activity in the Shared Workspace},
language = {eng},
address = {Basel},
author = {Ren, Xipei and Guo, Zhifan and Huang, Aobo and Li, Yuying and Xu, Xinyi and Zhang, Xiaoyu},
}",2022,1,"school of Design and Arts, Beijing Institute of Technology",DES,,,QUAL,physical well-being,physical health,N/A,workplace,HEALTH,WORKPLACE,N/A,N/A,18,within-subject,no controlled number of sessions,general,"22, 19",21,"9, 9",0,9,9,N.R.,N.R.,N.R.,N/R,"Maybe in China as per the university, they mention they could all read english but inclear if the experiment was conducted in English",prototype,,,,,physical,interacting,WoZ,seat pads with sensors,N/A,N/A,N/A,N/A,1,1,0,0,1,0,0,empirical study,,MIXED,statistical tests,interview and questionairre,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P051,"Abendschein, B., Edwards, A., & Edwards, C. (2022). Novelty Experience in Prolonged Interaction: A Qualitative Study of Socially-Isolated College Students' In-Home Use of a Robot Companion Animal. Frontiers in Robotics and AI, 9, 733078–733078. https://doi.org/10.3389/frobt.2022.733078","@article{AbendscheinBryan2022NEiP,
issn = {2296-9144},
journal = {Frontiers in robotics and AI},
pages = {733078--733078},
volume = {9},
publisher = {Frontiers Media S.A},
year = {2022},
title = {Novelty Experience in Prolonged Interaction: A Qualitative Study of Socially-Isolated College Students' In-Home Use of a Robot Companion Animal},
copyright = {Copyright © 2022 Abendschein, Edwards and Edwards.},
language = {eng},
address = {Switzerland},
author = {Abendschein, Bryan and Edwards, Autumn and Edwards, Chad},
}",2022,1,"Communication and Social Robotics Labs, School of Communication, Western Michigan University",CS,,,QUAL,lonliness/isolation,loneliness,loneliness/isolation,home,MENTAL,HOME,1,SINGLE,9,long-term,1 session but for 6 weeks,general,"30,19",22.11,"6,3",0,3,6,N.R.,English,USA,North America,,JFA,,,,,physical,interacting,A,N/A,N/A,A,N/A,N/A,0,1,0,0,1,0,0,exploratory study,,INTERVIEWS,coding the interview responses,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P054,"Tanaka, K., Makino, H., Nakamura, K., Nakamura, A., Hayakawa, M., Uchida, H., Kasahara, M., Kato, H., & Igarashi, T. (2022). The pilot study of group robot intervention on pediatric inpatients and their caregivers, using ‘new aibo’ European Journal of Pediatrics, 181(3), 1055–1061. https://doi.org/10.1007/s00431-021-04285-8","@article{TanakaKyoko2022Tpso,
issn = {0340-6199},
journal = {European journal of pediatrics},
pages = {1055--1061},
volume = {181},
publisher = {Springer Berlin Heidelberg},
number = {3},
year = {2022},
title = {The pilot study of group robot intervention on pediatric inpatients and their caregivers, using ‘new aibo’},
copyright = {The Author(s) 2021},
language = {eng},
address = {Berlin/Heidelberg},
author = {Tanaka, Kyoko and Makino, Hitoshi and Nakamura, Kazuaki and Nakamura, Akio and Hayakawa, Maoko and Uchida, Hajime and Kasahara, Mureo and Kato, Hitoshi and Igarashi, Takashi},
}",2022,1,N.R.,N.R.,,,QUAL,well-being,well-being,N/A,clinical,THER,HOSPITAL,24,<=30,"-127,116",observation,the first number is children the second is clinicians ,chronically ill children,"(13,0), (N.R.)",N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,Japanese,Japan,East Asia,,aibo,,,,,physical,interacting,A,N/A,"emotional expression with sounds, ears, motions",A,N/A,N/A,0,1,0,0,1,1,0,exploratory study,,OBSERVATIONS,sorting sentences by affect,,N/A,N/A,N/A,N/A,N/A,N/A,0,,1,0,Y,
P066,"Yuan, F., Anderson, J. G., Wyatt, T. H., Lopez, R. P., Crane, M., Montgomery, A., & Zhao, X. (2022). Assessing the Acceptability of a Humanoid Robot for Alzheimer’s Disease and Related Dementia Care Using an Online Survey. International Journal of Social Robotics, 14(5), 1223–1237. https://doi.org/10.1007/s12369-021-00862-x","@article{YuanFengpei2022AtAo,
issn = {1875-4791},
journal = {International journal of social robotics},
pages = {1223--1237},
volume = {14},
publisher = {Springer Netherlands},
number = {5},
year = {2022},
title = {Assessing the Acceptability of a Humanoid Robot for Alzheimer’s Disease and Related Dementia Care Using an Online Survey},
copyright = {The Author(s), under exclusive licence to Springer Nature B.V. 2022},
language = {eng},
address = {Dordrecht},
author = {Yuan, Fengpei and Anderson, Joel G. and Wyatt, Tami H. and Lopez, Ruth Palan and Crane, Monica and Montgomery, Austin and Zhao, Xiaopeng},
}",2022,1,N.R.,N.R.,,,QUANT,well-being,well-being,N/A,Clinical,SOCIAL,N/A,1,SINGLE,"80,245,306",single session,"ADRD, caregivers, general",dementia,"above 85, under 50)","(65-75),(50-65), (under 50)","(35, 44), (58, 184), (124, 177)",0,"44,184,177","35,58,124",GENDER,English,Mixed,Multi-national,,N/A,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,1,0,online survey,,SURVEYS,statistical tests,,N.R.,N/A,N/A,N/A,N/A,N/A,1,"have questions on participant concerns about ehtics, little discussion",0,1,Y,
